City,Name,Cuisine,Neighborhood,OpenTable_URL
Philadelphia,Ogawa Sushi & Kappo Omakase,Sushi,Old City,https://www.opentable.com/r/ogawa-sushi-and-kappo-omakase-philadelphia
Phoenix,Fat Ox,Italian,Central Scottsdale,https://www.opentable.com/r/fat-ox-scottsdale
Phoenix,Wrigley Mansion - Geordie's,American,Biltmore,https://www.opentable.com/r/wrigley-mansion-geordies-phoenix
Phoenix,The Mission – Old Town Scottsdale,Latin American,Old Town Scottsdale,https://www.opentable.com/r/the-mission-old-town-scottsdale
Phoenix,Christopher's at Wrigley Mansion,Contemporary French,Biltmore,https://www.opentable.com/r/christophers-at-wrigley-mansion-phoenix
Phoenix,Lom Wong,Thai,West Phoenix,https://www.opentable.com/r/lom-wong-phoenix
Phoenix,Chilte,Contemporary Mexican,West Phoenix,https://www.opentable.com/r/chilte-phoenix
Phoenix,Course,American,Central Scottsdale,https://www.opentable.com/r/course-scottsdale
Phoenix,Latha Restaurant,Contemporary American,Downtown Phoenix,https://www.opentable.com/r/latha-restaurant-phoenix
Pittsburgh,ELEVEN,American,Downtown,
Portland,Dolly Olive & Bar Dolly,Italian,Downtown,https://www.opentable.com/r/dolly-olive-portland
Portland,Oma's Hideaway,Indonesian / Malaysian,Southeast Portland,https://www.opentable.com/r/omas-hideaway-portland
Portland,Shalom Y'all,Mediterranean,Southeast Portland,https://www.opentable.com/r/shalom-yall-portland
Portland,Arden,Contemporary American,Northwest Portland,https://www.opentable.com/r/arden-portland
Portland,Canard - Burnside,Contemporary American,Northeast Portland,https://www.opentable.com/r/canard-burnside-portland
Portland,L'Orange,Mediterranean,Southeast Portland,https://www.opentable.com/r/lorange-portland
Portland,Jeju,Korean,Southeast Portland,https://www.opentable.com/r/jeju-portland
